baseline_partial_ks_dir,baseline_partial_run_dir,dct_bin,dct_kilosort_results_dir,dct_window_samples,eid,error,fs,n_chan,n_keep,n_samples,preprocessed_copy,probe,ratio,run_label,status
G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\cde63527_probe01_partial_20260712_222836_ratio_0.10_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct,600,cde63527-7f5a-4cc3-8ac2-215d82e7da26,,30000.0,385,60,6300000,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe01,0.1,cde63527_probe01_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\cde63527_probe01_partial_20260712_222836_ratio_0.20_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct,600,cde63527-7f5a-4cc3-8ac2-215d82e7da26,,30000.0,385,120,6300000,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe01,0.2,cde63527_probe01_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\cde63527_probe01_partial_20260712_222836_ratio_0.30_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct,600,cde63527-7f5a-4cc3-8ac2-215d82e7da26,,30000.0,385,180,6300000,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe01,0.3,cde63527_probe01_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\cde63527_probe01_partial_20260712_222836_ratio_0.50_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct,600,cde63527-7f5a-4cc3-8ac2-215d82e7da26,,30000.0,385,300,6300000,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe01,0.5,cde63527_probe01_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.70\cde63527_probe01_partial_20260712_222836_ratio_0.70_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.70\kilosort4_dct,600,cde63527-7f5a-4cc3-8ac2-215d82e7da26,,30000.0,385,420,6300000,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe01,0.7,cde63527_probe01_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\cde63527_probe01_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\cde63527_probe01_partial_20260712_222836_ratio_1.00_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct,600,cde63527-7f5a-4cc3-8ac2-215d82e7da26,,30000.0,385,600,6300000,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe01,1.0,cde63527_probe01_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.10\dd4da095_probe00_partial_20260712_222836_ratio_0.10_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct,600,dd4da095-4a99-4bf3-9727-f735077dba66,,30000.0,385,60,6420000,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.1,dd4da095_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.20\dd4da095_probe00_partial_20260712_222836_ratio_0.20_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct,600,dd4da095-4a99-4bf3-9727-f735077dba66,,30000.0,385,120,6420000,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.2,dd4da095_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.30\dd4da095_probe00_partial_20260712_222836_ratio_0.30_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct,600,dd4da095-4a99-4bf3-9727-f735077dba66,,30000.0,385,180,6420000,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.3,dd4da095_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.50\dd4da095_probe00_partial_20260712_222836_ratio_0.50_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct,600,dd4da095-4a99-4bf3-9727-f735077dba66,,30000.0,385,300,6420000,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.5,dd4da095_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.70\dd4da095_probe00_partial_20260712_222836_ratio_0.70_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct,600,dd4da095-4a99-4bf3-9727-f735077dba66,,30000.0,385,420,6420000,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.7,dd4da095_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\dd4da095_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\dd4da095_probe00_partial_20260712_222836_ratio_1.00_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,600,dd4da095-4a99-4bf3-9727-f735077dba66,,30000.0,385,600,6420000,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,1.0,dd4da095_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\8ca740c5_probe00_partial_20260712_222836_ratio_0.10_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct,600,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,30000.0,385,60,6600000,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.1,8ca740c5_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\8ca740c5_probe00_partial_20260712_222836_ratio_0.20_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct,600,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,30000.0,385,120,6600000,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.2,8ca740c5_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\8ca740c5_probe00_partial_20260712_222836_ratio_0.30_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct,600,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,30000.0,385,180,6600000,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.3,8ca740c5_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\8ca740c5_probe00_partial_20260712_222836_ratio_0.50_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct,600,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,30000.0,385,300,6600000,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.5,8ca740c5_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\8ca740c5_probe00_partial_20260712_222836_ratio_0.70_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct,600,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,30000.0,385,420,6600000,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,0.7,8ca740c5_probe00_partial_20260712_222836,complete
G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836\kilosort4_partial,G:\academic\week8_partial_kilosort4_runs\8ca740c5_probe00_partial_20260712_222836,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\8ca740c5_probe00_partial_20260712_222836_ratio_1.00_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,600,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,,30000.0,385,600,6600000,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\baseline_preprocessed\temp_wh.dat,probe00,1.0,8ca740c5_probe00_partial_20260712_222836,complete
