run_label,eid,probe,ratio,dct_window_samples,n_keep_coefficients_per_window,n_samples,n_windows,n_chan,fs,status,dct_bin,dct_kilosort_results_dir,dct_window_ms,whole_segment_dct,binned_count_accuracy_macro,binned_count_accuracy_micro,mean_bin_accuracy,all_neuron_fraction_ge_090
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.1,600,60,6600000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\8ca740c5_probe00_partial_20260712_222836_ratio_0.10_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct,20.0,False,0.15230214737429,0.5149152047829952,0.0544819289838341,0.0460251046025104
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.2,600,120,6600000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\8ca740c5_probe00_partial_20260712_222836_ratio_0.20_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct,20.0,False,0.3005695372139144,0.6210613096532493,0.7513257285237055,0.0920502092050209
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.3,600,180,6600000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\8ca740c5_probe00_partial_20260712_222836_ratio_0.30_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct,20.0,False,0.3769717755042109,0.6799004643711446,0.9074697244665626,0.1422594142259414
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.5,600,300,6600000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\8ca740c5_probe00_partial_20260712_222836_ratio_0.50_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct,20.0,False,0.4945579175057163,0.7600327014178873,0.9573420630430848,0.1757322175732217
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.7,600,420,6600000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\8ca740c5_probe00_partial_20260712_222836_ratio_0.70_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct,20.0,False,0.6792423660303979,0.86585261790265,0.9816344133898416,0.2468619246861924
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,1.0,600,600,6600000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\8ca740c5_probe00_partial_20260712_222836_ratio_1.00_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,20.0,False,1.0,1.0,1.0,1.0
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.1,600,60,6300000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\cde63527_probe01_partial_20260712_222836_ratio_0.10_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.10\kilosort4_dct,20.0,False,0.1487585418471363,0.5343768138711775,0.0,0.063063063063063
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.2,600,120,6300000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\cde63527_probe01_partial_20260712_222836_ratio_0.20_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.20\kilosort4_dct,20.0,False,0.3341496563536731,0.6783976398399211,0.554908327843808,0.1216216216216216
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.3,600,180,6300000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\cde63527_probe01_partial_20260712_222836_ratio_0.30_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.30\kilosort4_dct,20.0,False,0.4118057837636441,0.723420922854013,0.783028474973976,0.1711711711711711
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.5,600,300,6300000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\cde63527_probe01_partial_20260712_222836_ratio_0.50_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.50\kilosort4_dct,20.0,False,0.5647086328775363,0.8202930997612782,0.9356964088646672,0.2252252252252252
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.7,600,420,6300000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.70\cde63527_probe01_partial_20260712_222836_ratio_0.70_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_0.70\kilosort4_dct,20.0,False,0.649285185345427,0.8595796401279584,0.9753017754418634,0.2792792792792792
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,1.0,600,600,6300000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\cde63527_probe01_partial_20260712_222836_ratio_1.00_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct,20.0,False,1.0,1.0,1.0,1.0
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.1,600,60,6420000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.10\dd4da095_probe00_partial_20260712_222836_ratio_0.10_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.10\kilosort4_dct,20.0,False,0.2823369736542488,0.5374698724439015,0.0,0.1777777777777777
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.2,600,120,6420000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.20\dd4da095_probe00_partial_20260712_222836_ratio_0.20_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.20\kilosort4_dct,20.0,False,0.4388179783221141,0.686399887724283,0.6032131618910909,0.2567901234567901
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.3,600,180,6420000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.30\dd4da095_probe00_partial_20260712_222836_ratio_0.30_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.30\kilosort4_dct,20.0,False,0.5632877217892304,0.7939182077129407,0.7976144876301886,0.3111111111111111
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.5,600,300,6420000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.50\dd4da095_probe00_partial_20260712_222836_ratio_0.50_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.50\kilosort4_dct,20.0,False,0.6549274799953692,0.853375646766846,0.927388936026836,0.3728395061728395
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.7,600,420,6420000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.70\dd4da095_probe00_partial_20260712_222836_ratio_0.70_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_0.70\kilosort4_dct,20.0,False,0.706324701174005,0.9035832279555078,0.9605737725882116,0.3851851851851852
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,1.0,600,600,6420000,,385,30000.0,complete,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\dd4da095_probe00_partial_20260712_222836_ratio_1.00_dctwin_600samp_preprocessed_int16.bin,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct,20.0,False,1.0,1.0,1.0,1.0
