run_label,eid,probe,prediction_ratio,predicted_probe_accuracy_mean,model_path,baseline_ks_nearest_chans,baseline_ks_n_pcs,baseline_template_nonzero_channel_median,baseline_ks_dir
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.1,0.6723873323967134,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.2,0.8370860655393084,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.3,0.9574203390424074,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.5,0.9977780530098719,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,0.7,0.9840063044638877,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
8ca740c5_probe00_partial_20260712_222836,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,probe00,1.0,1.0,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\8ca740c5_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.1,0.6684659521122861,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.2,0.833164685254881,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.3,0.9533540726412182,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.5,0.9988379635738797,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,0.7,0.9841830777653905,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
cde63527_probe01_partial_20260712_222836,cde63527-7f5a-4cc3-8ac2-215d82e7da26,probe01,1.0,1.0,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\cde63527_probe01_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.1,0.6357194605919405,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.2,0.8004181937345356,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.3,0.9209685241042403,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.5,0.9934537676738824,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,0.7,0.9604671781562821,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
dd4da095_probe00_partial_20260712_222836,dd4da095-4a99-4bf3-9727-f735077dba66,probe00,1.0,1.0,G:\academic\predictor\week5_accuracy_predictor_model_ratio1baseline.npy,25,3,25.0,G:\academic\week8_partial_dct_kilosort_runs\dd4da095_probe00_partial_20260712_222836\ratio_1.00\kilosort4_dct
